Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_092.jpg;0;0.6001291;0;0.04148658;99.67654;85.59245;0.1538325;27.44875;0.000589993
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_158.jpg;0;0.8008053;0;0.07702982;99.68362;85.59612;0.3113149;27.51664;0.0001715043
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_225.jpg;0;1;0;0.1341235;99.69397;85.60149;0.5196493;27.58371;-0.001163901
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_292.jpg;0;1;0;0.1856831;99.71171;85.61072;0.8214429;27.58145;-0.001026582
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_358.jpg;0;1;0;0.2253301;99.72799;85.61921;1.06048;27.56627;0.0003839972
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_425.jpg;0;1;0;0.2984383;99.74719;85.62916;1.296178;27.61357;-0.002130016
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_491.jpg;0;1;0;0.3508102;99.77267;85.64233;1.253753;27.55185;-0.001245901
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_558.jpg;0;1;0;0.4156228;99.79372;85.6533;1.109528;27.5743;0.0001645423
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_625.jpg;0;1;0;0.4878794;99.81863;85.66618;1.042916;27.47939;0.0004736026
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_692.jpg;0;1;0;0.5206977;99.85649;85.68568;1.033427;27.34883;0.0008762743
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_759.jpg;0;1;0;0.5724179;99.88842;85.70204;1.078516;27.34237;-0.001559267
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_824.jpg;0;1;0;0.6334295;99.92393;85.72027;1.175348;27.26231;0.0005181896
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_890.jpg;0;1;0;0.6713613;99.96121;85.73936;1.249393;27.28246;-0.001937033
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_18_958.jpg;0;1;0;0.7240648;100.0137;85.76624;1.241658;27.25523;-0.001371269
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_024.jpg;0;1;0;0.8108084;100.0559;85.78781;1.203104;27.14825;0.0001810399
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_091.jpg;0;1;0;0.8578615;100.1176;85.81921;1.211422;27.21576;-0.001058436
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_157.jpg;0;1;0;0.8928095;100.1669;85.84432;1.222078;27.20472;-0.0006584093
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_225.jpg;0;1;0;0.9726365;100.219;85.87089;1.230907;27.2127;-0.001071893
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_291.jpg;0;1;0;1.020879;100.2736;85.89866;1.225479;27.19243;-0.0006667896
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_357.jpg;0;1;0;1.069067;100.3501;85.93764;1.219116;27.19836;-0.0003717424
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_424.jpg;0;1;0;1.114664;100.4108;85.96851;1.229011;27.18884;-0.0008315534
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_490.jpg;0;1;0;1.172795;100.4951;86.01141;1.223823;27.13695;-0.0005006923
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_557.jpg;0;0.9021162;0;1.222169;100.5613;86.04506;1.2273;27.10493;-0.0007536281
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_625.jpg;0;0.700707;0;1.275809;100.6297;86.07971;1.229024;27.07383;-0.0007575249
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_690.jpg;0;0.502642;0;1.308359;100.6996;86.11514;1.227506;27.06909;-0.0004233554
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_757.jpg;0;0.7027829;0;1.331919;100.7952;86.16351;1.23329;27.05792;-0.0007947806
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_824.jpg;0;0.9031725;0;1.363635;100.869;86.20084;1.237102;27.04006;-0.0008237634
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_890.jpg;0;1;0;1.420689;100.9452;86.23937;1.243432;27.02723;-0.0009215454
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_19_957.jpg;0;1;0;1.467867;101.0508;86.2927;1.251136;27.00671;-0.0008987577
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_024.jpg;0;1;0;1.514804;101.1328;86.33412;1.252679;26.99545;-0.0009275798
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_091.jpg;0;1;0;1.576847;101.2174;86.3768;1.257075;26.9861;-0.000988481
